Sat Jan 14 14:06:44 2023 | SUCCESS | res.partner | Adi Gallia | ID_SW - 55 | ID_Odoo - 276
Sat Jan 14 14:06:46 2023 | SUCCESS | res.partner | Yarael Poof | ID_SW - 57 | ID_Odoo - 277
Sat Jan 14 14:06:48 2023 | SUCCESS | res.partner | Eeth Koth | ID_SW - 54 | ID_Odoo - 278
Sat Jan 14 14:06:50 2023 | SUCCESS | res.partner | Saesee Tiin | ID_SW - 56 | ID_Odoo - 279
Sat Jan 14 14:06:53 2023 | SUCCESS | res.partner | Mas Amedda | ID_SW - 59 | ID_Odoo - 280
Sat Jan 14 14:06:55 2023 | SUCCESS | res.partner | Gregar Typho | ID_SW - 60 | ID_Odoo - 281
Sat Jan 14 14:06:57 2023 | SUCCESS | res.partner | Plo Koon | ID_SW - 58 | ID_Odoo - 282
Sat Jan 14 14:06:59 2023 | SUCCESS | res.partner | Cordé | ID_SW - 61 | ID_Odoo - 283
Sat Jan 14 14:07:02 2023 | SUCCESS | res.partner | Poggle the Lesser | ID_SW - 63 | ID_Odoo - 284
Sat Jan 14 14:07:04 2023 | SUCCESS | res.partner | Luminara Unduli | ID_SW - 64 | ID_Odoo - 285
Sat Jan 14 14:07:06 2023 | SUCCESS | res.partner | Cliegg Lars | ID_SW - 62 | ID_Odoo - 286
Sat Jan 14 14:07:08 2023 | SUCCESS | res.partner | Barriss Offee | ID_SW - 65 | ID_Odoo - 287
Sat Jan 14 14:07:11 2023 | SUCCESS | res.partner | Bail Prestor Organa | ID_SW - 68 | ID_Odoo - 288
Sat Jan 14 14:07:13 2023 | SUCCESS | res.partner | Jango Fett | ID_SW - 69 | ID_Odoo - 289
Sat Jan 14 14:07:15 2023 | SUCCESS | res.partner | Dooku | ID_SW - 67 | ID_Odoo - 290
Sat Jan 14 14:07:17 2023 | SUCCESS | res.partner | Dormé | ID_SW - 66 | ID_Odoo - 291
Sat Jan 14 14:07:20 2023 | SUCCESS | res.partner | Dexter Jettster | ID_SW - 71 | ID_Odoo - 292
Sat Jan 14 14:07:22 2023 | SUCCESS | res.partner | Lama Su | ID_SW - 72 | ID_Odoo - 293
Sat Jan 14 14:07:24 2023 | SUCCESS | res.partner | Zam Wesell | ID_SW - 70 | ID_Odoo - 294
Sat Jan 14 14:07:26 2023 | SUCCESS | res.partner | Taun We | ID_SW - 73 | ID_Odoo - 295
Sat Jan 14 14:07:29 2023 | SUCCESS | res.partner | San Hill | ID_SW - 77 | ID_Odoo - 296
Sat Jan 14 14:07:31 2023 | SUCCESS | res.partner | Wat Tambor | ID_SW - 76 | ID_Odoo - 297
Sat Jan 14 14:07:33 2023 | SUCCESS | res.partner | Jocasta Nu | ID_SW - 74 | ID_Odoo - 298
Sat Jan 14 14:07:35 2023 | SUCCESS | res.partner | R4-P17 | ID_SW - 75 | ID_Odoo - 299
Sat Jan 14 14:07:37 2023 | SUCCESS | res.partner | Shaak Ti | ID_SW - 78 | ID_Odoo - 300
Sat Jan 14 14:07:40 2023 | SUCCESS | res.partner | Tarfful | ID_SW - 80 | ID_Odoo - 301
Sat Jan 14 14:07:42 2023 | SUCCESS | res.partner | Raymus Antilles | ID_SW - 81 | ID_Odoo - 302
Sat Jan 14 14:07:44 2023 | SUCCESS | res.partner | Grievous | ID_SW - 79 | ID_Odoo - 303
Sat Jan 14 14:07:46 2023 | SUCCESS | res.partner | Sly Moore | ID_SW - 82 | ID_Odoo - 304
Sat Jan 14 14:07:49 2023 | SUCCESS | res.partner | Tion Medon | ID_SW - 83 | ID_Odoo - 305
